fid	X2000	Y2000	v_m	ALD_m	Exx	Eyy	Yxy
3092	5568795,1	5716847,6	-10,2	-41,8	0,00089	-0,03465	-0,00427
3100	5567561,9	5717556,6	-46,6	35	0,14753	-0,13286	0,21546
3150	5567807,5	5716980,3	-28,1	-2,2	-0,10839	0,04635	-0,02348
3163	5568996,6	5716677,8	-10	-0,5	0,02361	0,09509	-0,13495
3168	5567503,5	5717048,2	-9,1	13,1	0,05759	0,03653	0,20625
3169	5568886,5	5717573,4	-20,6	-64,2	0,11175	-0,01372	-0,04534
3195	5568504,9	5717924,7	-160	-200,6	0,22537	-0,16723	0,17565
3213	5567405	5716923,8	-4,1	10,4	0,07908	-0,04022	0,04799
3216	5567571,8	5717946	-26,4	65	0,19704	0,0258	0,29915
3221	5568181,6	5716846,3	-20	-22,9	0,00847	0,05054	0,04538
3252	5569078,1	5718216,3	-22,7	-34,4	0,03552	-0,06754	0,08751
3255	5567618	5717921,1	-44,1	77,4	0,14562	0,01893	0,3384
3277	5568065,6	5718343,3	-132,5	-2,7	-0,37226	0,08825	-0,05698
3280	5567486,3	5717582,1	-22,8	39,1	0,06601	-0,17475	0,06493
3286	5569125,4	5717303,5	20	-21,3	0,03135	0,00643	-0,01386
3305	5569051,6	5717568,8	-20,8	-43,8	0,04891	-0,03312	0,01905
3326	5568034,1	5716809,1	-4	14,5	-0,04195	0,04174	-0,06048
3334	5567395,4	5717062	-10,4	8,1	0,088	0,04824	0,13417
3362	5567385,9	5718785,4	4	7,7	0,00862	-0,01428	-0,07934
3365	5567586	5718596,8	-20,9	-2,6	-0,01602	0,00276	-0,05326
3384	5567540,5	5717066,3	-23,4	13,8	0,03343	0,03356	0,19853
3385	5568016,3	5718317,1	-111,9	26,5	-0,3965	0,06165	-0,12327
3390	5568164,9	5717000,2	-16,8	-16,4	-0,02748	0,09598	-0,01659
3391	5568007,6	5716883	-26,6	-13,7	-0,04182	0,06886	-0,04861
3393	5567189,4	5718519,2	7,4	11,5	0,08048	-0,06381	0,00077
3406	5567381,5	5717760,3	-8	12,1	0,0292	0,0303	-0,04519
3409	5567956,9	5718136	-231,2	8,4	-0,56074	-0,22543	-0,2478
3418	5568835,9	5717804,4	-43,1	-95,5	0,11429	0,00135	-0,10133
3438	5568076,4	5716785,3	-9,1	-16,3	-0,02949	0,04558	-0,05027
3444	5568281,1	5718403,5	-102,4	-44	-0,09132	0,07957	0,20314
3464	5567282,8	5718089,4	-1,9	20,7	0,09876	0,02132	0,03733
3487	5567151,7	5716994,7	-0,3	11,2	0,00742	-0,06032	-0,05508
3524	5567560,7	5718553	4,3	24	0,00859	0,01228	-0,05829
3529	5568401,6	5718755,9	-31,9	-22,3	0,02771	0,04561	0,09943
3549	5567464,6	5717428,4	-37,1	18,4	0,03565	-0,07542	0,02005
3554	5567171,7	5716715	-3,5	-0,1	0,00995	-0,00699	-0,00097
3560	5567135,5	5717476,9	9,1	12,9	0,0313	0,00529	0,01265
3566	5567535,1	5716769,3	-8,7	10	0,01875	0,07805	0,04554
3577	5568781,6	5717471,2	-24,3	-41,6	0,07332	-0,03154	-0,03245
3585	5568374,8	5718046,9	-150	-178,9	0,11607	-0,23218	0,24569
3595	5567527,9	5717418,2	-31,6	6,8	0,02833	-0,0467	0,05146
3606	5567821,3	5717159	-46	17,6	-0,09807	0,10173	0,05893
3630	5568811,6	5718630,7	-36,3	-31,9	0,07916	0,08066	0,10086
3643	5567482,8	5717740,4	-25,6	20,8	0,11121	0,0808	0,1117
3645	5568466,6	5717125,4	-25	-34,4	0,02702	0,14941	-0,05488
3667	5569272,2	5716836,9	21,9	33,6	-0,01805	0,16525	0,07128
3675	5567953,3	5716847,7	-19,5	3	-0,06098	0,05298	-0,07158
3676	5568526,4	5716909,3	-16,1	-23,4	0,00401	-0,01724	-0,07888
3686	5567746,7	5718107,3	-93,8	91,8	-0,18107	-0,25679	-0,14198
3692	5567133,2	5716972,6	-4,1	1,5	0,0017	-0,06908	-0,05453
3693	5569102,1	5717376,8	-13,5	-41	0,02609	0,06793	-0,01645
3697	5568892	5718487,7	-3,2	-0,7	0,08027	0,11975	0,09188
3699	5568842,7	5717564,9	-30,1	-58,3	0,08445	-0,00251	-0,05445
3714	5568891,9	5717799,3	-22,9	-66,7	0,13462	0,02155	-0,09195
3743	5567850,5	5716687,4	-19,2	15,4	-0,025	0,03861	0,04173
3744	5568300,4	5717245,8	-69,7	-54,4	-0,01442	0,24889	-0,15778
3749	5568048,6	5718173,3	-242,5	1,3	-0,52131	-0,21964	-0,11199
3750	5567763,9	5718658,4	-24,4	-2,7	-0,12086	0,08235	-0,0474
3751	5567896,8	5717332,9	-76,7	38,3	-0,13153	0,23778	0,27436
3767	5568359	5718067,7	-171,2	-169,6	0,07199	-0,2305	0,25019
3770	5567053,7	5718163,8	17,6	34,9	-0,00328	0,03408	-0,0561
